[LVL]
BGFC=7495f5 BGSC=f5fefd
EGIX=7296 EGIY=319 EGX=7456 EGY=319
EI=1 EP=1 EX=3040 EY=256
EI=6 EP=0 EX=6592 EY=320
EI=5 EP=0 EX=1696 EY=448
EI=1 EP=0 EX=2944 EY=384
EI=3 EP=1 EX=4800 EY=128
EI=0 EP=1 EX=2112 EY=192
EI=10 EP=0 EX=3456 EY=416
EI=0 EP=0 EX=768 EY=320
EI=8 EP=0 EX=2592 EY=352
EI=10 EP=0 EX=3584 EY=448
EI=6 EP=0 EX=1760 EY=384
EI=10 EP=0 EX=5728 EY=416
EI=9 EP=0 EX=2560 EY=448
EI=6 EP=0 EX=992 EY=320
EI=6 EP=0 EX=2176 EY=0
EI=0 EP=0 EX=2816 EY=384
EI=9 EP=0 EX=1344 EY=288
EI=0 EP=1 EX=448 EY=288
EI=3 EP=0 EX=768 EY=416
EI=4 EP=0 EX=864 EY=416
EI=0 EP=1 EX=3744 EY=96
EI=6 EP=0 EX=2400 EY=96
EI=6 EP=0 EX=3136 EY=96
EI=9 EP=0 EX=3616 EY=256
EI=4 EP=0 EX=1568 EY=416
EI=1 EP=0 EX=544 EY=416
EI=10 EP=0 EX=5536 EY=384
EI=6 EP=0 EX=3328 EY=96
EI=2 EP=0 EX=1696 EY=384
EI=8 EP=0 EX=3520 EY=320
EI=10 EP=0 EX=2112 EY=448
EI=0 EP=1 EX=3808 EY=96
EI=0 EP=1 EX=832 EY=224
EI=4 EP=0 EX=800 EY=352
EI=5 EP=0 EX=928 EY=448
EI=6 EP=0 EX=1824 EY=384
EI=6 EP=0 EX=3232 EY=96
EI=4 EP=0 EX=832 EY=352
EI=3 EP=0 EX=768 EY=352
EI=5 EP=2 EX=2528 EY=64
EI=0 EP=1 EX=448 EY=256
EI=6 EP=0 EX=7456 EY=320
EI=1 EP=0 EX=384 EY=416
EI=6 EP=0 EX=7296 EY=320
EI=6 EP=0 EX=1280 EY=288
EI=10 EP=0 EX=4352 EY=256
EI=4 EP=0 EX=800 EY=416
EI=6 EP=0 EX=2528 EY=160
EI=10 EP=0 EX=4352 EY=352
EI=4 EP=0 EX=832 EY=416
EI=7 EP=2 EX=5016 EY=256
EI=6 EP=0 EX=6336 EY=352
EI=6 EP=0 EX=2240 EY=224
EI=5 EP=0 EX=6304 EY=448
EI=6 EP=0 EX=5024 EY=256
EI=10 EP=0 EX=4352 EY=416
EI=7 EP=0 EX=5376 EY=224
EI=6 EP=0 EX=5280 EY=384
EI=10 EP=0 EX=1376 EY=192
EI=9 EP=0 EX=3424 EY=416
EI=10 EP=0 EX=3584 EY=352
EI=5 EP=0 EX=928 EY=416
EI=0 EP=1 EX=1568 EY=192
EI=4 EP=0 EX=3008 EY=448
EI=6 EP=0 EX=4608 EY=352
EI=10 EP=0 EX=5728 EY=320
EI=0 EP=1 EX=864 EY=256
EI=1 EP=1 EX=3168 EY=256
EI=4 EP=0 EX=3232 EY=448
EI=6 EP=0 EX=1056 EY=320
EI=4 EP=0 EX=6080 EY=448
EI=1 EP=0 EX=3008 EY=384
EI=0 EP=1 EX=864 EY=288
EI=6 EP=0 EX=2112 EY=96
EI=6 EP=0 EX=4864 EY=0
EI=5 EP=2 EX=4672 EY=224
EI=4 EP=0 EX=864 EY=352
EI=1 EP=0 EX=2880 EY=384
EI=6 EP=0 EX=3424 EY=96
EI=6 EP=0 EX=2528 EY=128
EI=9 EP=0 EX=3552 EY=416
EI=4 EP=0 EX=864 EY=448
EI=10 EP=0 EX=1376 EY=288
EI=3 EP=1 EX=2880 EY=256
EI=1 EP=0 EX=896 EY=320
EI=1 EP=0 EX=1632 EY=384
EI=6 EP=0 EX=1152 EY=288
EI=0 EP=1 EX=1568 EY=160
EI=4 EP=0 EX=2848 EY=448
EI=10 EP=0 EX=3520 EY=416
EI=10 EP=0 EX=3456 EY=320
EI=1 EP=0 EX=3264 EY=384
EI=9 EP=0 EX=5376 EY=256
EI=4 EP=0 EX=2880 EY=448
EI=4 EP=0 EX=2944 EY=448
EI=4 EP=0 EX=2976 EY=448
EI=4 EP=0 EX=3040 EY=448
EI=9 EP=0 EX=3488 EY=384
EI=6 EP=0 EX=5184 EY=0
EI=10 EP=0 EX=3584 EY=416
EI=0 EP=2 EX=1007 EY=319
EI=4 EP=0 EX=3072 EY=448
EI=4 EP=0 EX=3008 EY=416
EI=4 EP=0 EX=2944 EY=416
EI=6 EP=0 EX=5248 EY=256
EI=10 EP=0 EX=3648 EY=224
EI=4 EP=0 EX=1536 EY=416
EI=1 EP=0 EX=3232 EY=384
EI=1 EP=0 EX=1664 EY=384
EI=3 EP=1 EX=3200 EY=256
EI=5 EP=0 EX=3328 EY=416
EI=5 EP=2 EX=5952 EY=320
EI=3 EP=1 EX=192 EY=288
EI=1 EP=0 EX=2848 EY=384
EI=4 EP=0 EX=3296 EY=416
EI=4 EP=0 EX=3136 EY=448
EI=3 EP=1 EX=1632 EY=256
EI=9 EP=0 EX=3616 EY=416
EI=4 EP=0 EX=3200 EY=448
EI=4 EP=0 EX=3264 EY=448
EI=4 EP=0 EX=3296 EY=448
EI=5 EP=2 EX=4576 EY=320
EI=1 EP=1 EX=2912 EY=256
EI=4 EP=0 EX=6240 EY=448
EI=3 EP=1 EX=2944 EY=256
EI=6 EP=0 EX=4576 EY=352
EI=4 EP=0 EX=6272 EY=448
EI=4 EP=0 EX=96 EY=448
EI=5 EP=1 EX=2976 EY=256
EI=4 EP=0 EX=352 EY=448
EI=0 EP=1 EX=1888 EY=224
EI=6 EP=0 EX=4448 EY=352
EI=4 EP=0 EX=1632 EY=416
EI=3 EP=1 EX=3072 EY=256
EI=3 EP=1 EX=3136 EY=256
EI=9 EP=0 EX=3488 EY=448
